1003337	Angomonas
100474	Batrachochytrium
100601	Trichobilharzia
100860	Aphanomyces
1036719	Verticillium
103826	Thelazia
1047167	Zymoseptoria
105767	Tremella
105983	Apiotrichum
107735	Prostheceraeus
1081667	Hepatospora
1081670	Enterospora
1129544	Rhizophagus
114233	Dipetalonema
1147740	Elaeophora
114867	Halicephalobus
114889	Rhabditophanes
114896	Subanguina
116850	Eudiplozoon
1169538	Vitrella
1176354	Hamiltosporidium
117902	Protopolystoma
1187979	Parapristionchus
1240986	Madathamugadia
12967	Blastocystis
1297786	Aplectana
131309	Parastrongyloides
13348	Arthrobotrys
1351751	Parastagonospora
135587	Histomonas
13657	Romanomermis
1434708	Hydatigera
144516	Microsporidium
1448052	Globisporangium
1463229	Blechomonas
146865	Pseudoloma
1470208	Paratrypanosoma
148308	Parelaphostrongylus
1491576	Magnaporthiopsis
1494215	Verruconis
1549750	Lomentospora
1615864	Allodiplogaster
1633384	Mitosporidium
1649875	Cucumispora
165869	Anguina
166009	Ditylenchus
166111	Byssoonygena
174684	Ordospora
1766050	Cruorifilaria
184431	Coprinopsis
184462	Hyaloperonospora
1851509	Naganishia
1866960	Amphiamblys
189290	Meloidogyne
1910789	Diutina
1920207	Thermothelomyces
1955773	Emergomyces
2023694	Levipalatum
2038651	Auanema
203903	Hemileia
211159	Hoplolaimus
211163	Rotylenchulus
2267273	Dibothriocephalus
226991	Cyphellophora
229045	Trichomonascus
229219	Blastomyces
241477	Soboliphyme
242060	Cystoisospora
2492674	Phanerodontia
2682771	Atriophallophorus
2761499	Porcisia
278038	Cercopithifilaria
27834	Nippostrongylus
27844	Fasciolopsis
27847	Echinostoma
279531	Dictyocoela
27971	Enterocytozoon
27977	Nosema
27995	Cytauxzoon
28581	Allomyces
286114	Synchytrium
287717	Deladenus
28840	Moniezia
291194	Tubulinosema
29169	Ancylostoma
29171	Dictyocaulus
29175	Neospora
2932330	Astathelohania
2964429	Candida/Metschnikowiaceae
29832	Hanseniaspora
29849	Gaeumannomyces
29907	Sporothrix
302781	Monocercomonoides
311453	Anncaliia
31242	Globodera
318468	Koerneria
318478	Dracunculus
33187	Uncinocarpus
33196	Botrytis
34372	Blumeria
34392	Microsporum
34503	Paragonimus
34507	Steinernema
34509	Heterodera
35089	Gregarina
35235	Vavraia
35724	Macrophomina
36034	Saccharomycodes
36086	Trichuris
364613	Bradynema
36910	Clavispora
36913	Lodderomyces
370636	Cardicola
37236	Amauroascus
374468	Nakaseomyces
37846	Gyrodactylus
37861	Heterorhabditis
38946	Paracoccidioides
39198	Heterobilharzia
39217	Macrostomum
39709	Spironucleus
40345	Strongylus
40354	Fonsecaea
40411	Chrysosporium
41687	Scedosporium
42230	Mansonella
42398	Vittaforma
42476	Oscheius
44417	Cyclospora
45234	Cordyceps
45340	Raffaelea
46011	Radopholus
46580	Spirometra
4753	Pneumocystis
4769	Saprolegnia
4778	Bremia
4783	Phytophthora
4797	Pythium
4815	Spizellomyces
4830	Mucor
4836	Phycomyces
4842	Rhizopus
48558	Pyricularia
48796	Setaria
4895	Schizosaccharomyces
490731	Kwoniella
4910	Kluyveromyces
4919	Pichia
4930	Saccharomyces
49353	Plectus
4951	Yarrowia
4958	Debaryomyces
5010	Taphrina
5036	Histoplasma
5052	Aspergillus
505692	Chromera
5073	Penicillium
5094	Talaromyces
51027	Enterobius
51030	Necator
5104	Ascosphaera
5110	Claviceps
5112	Epichloe
5140	Neurospora
5144	Podospora
5146	Sordaria
5149	Chaetomium
51540	Spraguea
5159	Ophiostoma
5179	Sclerotinia
5206	Cryptococcus
52316	Girardia
52564	Oesophagostomum
5260	Melampsora
5269	Ustilago
5296	Puccinia
5320	Pleurotus
53467	Mesocestoides
53475	Mesorhabditis
53703	Proteocephalus
54125	Pristionchus
5455	Colletotrichum
5475	Candida
5500	Coccidioides
5506	Fusarium
55193	Malassezia
55270	Schmidtea
5529	Metarhizium
5543	Trichoderma
5550	Trichophyton
5552	Trichosporon
5569	Cenococcum
55749	Bunonema
55784	Panagrolaimus
55799	Diploscapter
5581	Beauveria
5583	Exophiala
5587	Rhinocladiella
5598	Alternaria
560212	Diplogasteroides
5655	Crithidia
5658	Leishmania
5683	Leptomonas
5690	Trypanosoma
5703	Endotrypanum
57077	Dicrocoelium
5712	Bodo
5721	Trichomonas
5723	Tritrichomonas
5740	Giardia
5754	Acanthamoeba
5758	Entamoeba
5761	Naegleria
5800	Eimeria
5806	Cryptosporidium
5810	Toxoplasma
5812	Sarcocystis
5820	Plasmodium
586132	Nematocida
5864	Babesia
5873	Theileria
59263	Toxascaris
6033	Encephalitozoon
6038	Vairimorpha
604195	Cyberlindnera
6160	Dugesia
6181	Schistosoma
6191	Fasciola
6197	Opisthorchis
6202	Taenia
6209	Echinococcus
6215	Hymenolepis
6232	Panagrellus
6237	Caenorhabditis
6247	Strongyloides
6251	Ascaris
6254	Parascaris
6258	Baylisascaris
6264	Toxocara
6268	Anisakis
6276	Acanthocheilonema
6278	Brugia
6281	Onchocerca
6286	Dirofilaria
6288	Haemonchus
6292	Wuchereria
6298	Litomosoides
6312	Angiostrongylus
6324	Bursaphelenchus
63265	Sporisorium
6333	Trichinella
6338	Heligmosomoides
637852	Gongylonema
64605	Sparganum
65356	Albugo
66786	Dipylidium
669149	Micoletzkya
66921	Benedenia
67677	Antonospora
688353	Lichtheimia
70110	Penicilliopsis
70201	Acrobeloides
70225	Aphelenchus
70535	Edhazardia
70664	Rodentolepis
70666	Schistocephalus
70742	Peronospora
71460	Cylicostephanus
7208	Loa
72358	Trachipleistophora
74721	Stachybotrys
766728	Meyerozyma
77521	Haemoproteus
77566	Hepatocystis
78156	Pseudogymnoascus
795339	Phytopythium
79922	Clonorchis
81099	Mastigamoeba
82105	Cladophialophora
90268	Apophysomyces
90723	Aphelenchoides
91942	Hortaea
94642	Besnoitia
947096	Porospora
94964	Teladorsagia
99157	Hammondia
