Node	Taxonomy	Count				
Eukaryota	Kingdom	29.65				
Eurotatoria	Clade	0.26				
Hyperoartia	Clade	0.30				
Aves	Clade	0.33				
Lepidosauria	Clade	0.35				
Hydrozoa	Clade	0.47				
Malacostraca	Clade	0.48				
Cladistia	Clade	0.58				
Amphibia	Clade	0.92				
Insecta	Clade	1.15				
Chondrichthyes	Clade	1.24				
Actinopteri	Clade	1.43				
Mammalia	Clade	20.15				
Petromyzon_marinus	Species	0.30				
Sus_scrofa	Species	0.43				
Hydra_vulgaris	Species	0.47				
Salmo_salar	Species	0.52				
Xenopus_laevis	Species	0.53				
Erpetoichthys_calabaricus	Species	0.58				
Oryctolagus_cuniculus	Species	0.88				
Carcharodon_carcharias	Species	1.17				
Homo_sapiens	Species	2.77				
Fukomys_damarensis	Species	3.95				
Mus_musculus	Species	4.20				
Ovis_aries	Species	5.55				