source	target	nlink
Bacteria	Mollicutes	2.24
Bacteria	Chitinophagia	2.34
Bacteria	Clostridia	3.69
Bacteria	Cytophagia	4.70
Bacteria	Bacteroidia	4.88
Bacteria	Flavobacteriia	11.98
Bacteria	Actinomycetes	5.78
Bacteria	Sphingobacteriia	11.91
Bacteria	Bacilli	33.02
Bacteria	Betaproteobacteria	37.34
Bacteria	Alphaproteobacteria	87.92
Bacteria	Gammaproteobacteria	95.17
Bacilli	Paenibacillus_taichungensis	16.51
Betaproteobacteria	Alcaligenes_faecalis	6.86
Alphaproteobacteria	Afipia_birgiae	5.23
Alphaproteobacteria	Afipia_broomeae	5.97
Alphaproteobacteria	Caulobacter_segnis	4.37
Alphaproteobacteria	Pseudochrobactrum_asaccharolyticum	11.89
Alphaproteobacteria	Sphingomonas_dokdonensis	9.96
Alphaproteobacteria	Bradyrhizobium_diversitatis	4.32
Gammaproteobacteria	Pseudomonas_lactis	5.55
Gammaproteobacteria	Stenotrophomonas_maltophilia_group	7.43
Gammaproteobacteria	Escherichia_coli	9.11
Gammaproteobacteria	Stenotrophomonas_indicatrix	23.14