Scientific Name	Taxonomic Group	NCBI Tax ID	NCBI Accession ID
Acanthamoeba astronyxis	Other eukaryotes	65658	GCA_000826245.1
Acanthamoeba castellanii str. Neff	Other eukaryotes	1257118	GCA_000313135.1
Acanthamoeba culbertsoni	Other eukaryotes	43142	GCA_000826265.1
Acanthamoeba healyi	Other eukaryotes	65661	GCA_000826305.1
Acanthamoeba lenticulata	Other eukaryotes	29196	GCA_000826285.1
Acanthamoeba lugdunensis	Other eukaryotes	61605	GCA_000826425.1
Acanthamoeba mauritaniensis	Other eukaryotes	196912	GCA_000826465.1
Acanthamoeba palestinensis	Other eukaryotes	28015	GCA_000826325.1
Acanthamoeba pearcei	Other eukaryotes	65662	GCA_000826505.1
Acanthamoeba quina	Other eukaryotes	211522	GCA_000826445.1
Acanthamoeba rhysodes	Other eukaryotes	32599	GCA_000826385.1
Acanthocheilonema viteae	Nematoda	6277	GCA_900537255.1
Acrobeloides nanus	Nematoda	290746	GCA_900406225.1
Albugo candida 2VRR	Other eukaryotes	911350	FungiDB-61-Acandida2VRR
Albugo laibachii Nc14	Other eukaryotes	890382	FungiDB-61-AlaibachiiNc14
Allodiplogaster sudhausi	Nematoda	2761625	GCA_014805415.1
Allodiplogaster sudhausi	Nematoda	2761625	GCA_945643635.1
Allomyces macrogynus ATCC 38327	Fungi	578462	GCA_000151295.1
Alternaria alternata	Fungi	5599	GCA_001642055.1
Amauroascus niger	Fungi	89421	GCA_001430945.1
Amauroascus verrucosus	Fungi	2074759	GCA_001430935.1
Amphiamblys sp. WSBS2006	Fungi	1866961	GCA_001875675.1
Ancylostoma caninum	Nematoda	29170	GCA_003336725.1
Ancylostoma ceylanicum	Nematoda	53326	GCA_000402015.1
Ancylostoma ceylanicum	Nematoda	53326	GCA_000688135.1
Ancylostoma duodenale	Nematoda	51022	GCA_000816745.1
Angiostrongylus cantonensis	Nematoda	6313	GCA_000331205.1
Angiostrongylus cantonensis	Nematoda	6313	GCA_001884285.1
Angiostrongylus cantonensis	Nematoda	6313	GCA_009735665.1
Angiostrongylus costaricensis	Nematoda	334426	GCA_900624975.1
Angiostrongylus vasorum	Nematoda	321387	GCA_018806985.1
Angomonas deanei	Other eukaryotes	59799	GCA_903995115.1
Anguina tritici	Nematoda	166006	GCA_029339935.1
Anisakis simplex	Nematoda	6269	GCA_900576815.1
Anisakis simplex	Nematoda	6269	GCA_900617985.1
Anncaliia algerae PRA109	Fungi	1240240	GCA_000385855.2
Antonospora locustae	Fungi	278021	GCA_007674295.1
Aphanomyces astaci	Other eukaryotes	112090	GCA_000520075.1
Aphanomyces invadans	Other eukaryotes	157072	GCA_000520115.1
Aphelenchoides besseyi	Nematoda	269767	GCA_024699835.1
Aphelenchoides besseyi	Nematoda	269767	GCA_024699855.1
Aphelenchoides besseyi	Nematoda	269767	GCA_024699875.1
Aphelenchoides besseyi	Nematoda	269767	GCA_024699915.1
Aphelenchoides besseyi	Nematoda	269767	GCA_029619545.1
Aphelenchoides bicaudatus	Nematoda	293665	GCA_024699845.1
Aphelenchoides fujianensis	Nematoda	1052528	GCA_024699865.1
Aphelenchus avenae	Nematoda	70226	GCA_020875895.1
Apiotrichum montevideense	Fungi	82521	GCA_001598995.1
Aplectana chamaeleonis	Nematoda	2696335	GCA_027405815.1
Aplectana chamaeleonis	Nematoda	2696335	GCA_029168955.1
Apophysomyces variabilis	Fungi	760013	GCA_002749535.1
Arthrobotrys flagrans	Fungi	97331	GCA_004000055.1
Ascaris lumbricoides	Nematoda	6252	GCA_015227635.1
Ascaris suum	Nematoda	6253	GCA_000187025.3
Ascaris suum	Nematoda	6253	GCA_000298755.1
Ascaris suum	Nematoda	6253	GCA_000331935.3
Ascaris suum	Nematoda	6253	GCA_013433145.1
Ascosphaera apis ARSEF 7405	Fungi	392613	GCA_001636715.1
Aspergillus aculeatus ATCC 16872	Fungi	690307	GCA_001890905.1
Aspergillus brasiliensis CBS 101740	Fungi	767769	GCA_001889945.1
Aspergillus campestris IBT 28561	Fungi	1392248	GCA_002847485.1
Aspergillus carbonarius ITEM 5010	Fungi	602072	GCA_001990825.1
Aspergillus clavatus NRRL 1	Fungi	344612	GCA_000002715.1
Aspergillus cristatus	Fungi	573508	GCA_001717485.1
Aspergillus eucalypticola CBS 122712	Fungi	1448314	GCA_003184535.1
Aspergillus fijiensis CBS 313.89	Fungi	1448319	GCA_003184825.1
Aspergillus fischeri NRRL 181	Fungi	331117	GCA_000149645.4
Aspergillus flavus NRRL3357	Fungi	332952	GCA_000006275.3
Aspergillus fumigatus Af293	Fungi	330879	GCA_000002655.1
Aspergillus glaucus CBS 516.65	Fungi	1160497	GCA_001890805.1
Aspergillus heteromorphus CBS 117.55	Fungi	1448321	GCA_003184545.1
Aspergillus lentulus	Fungi	293939	GCA_001445615.2
Aspergillus luchuensis CBS 106.47	Fungi	1137211	GCA_001890685.1
Aspergillus nidulans FGSC A4	Fungi	227321	GCA_000149205.2
Aspergillus niger CBS 513.88	Fungi	425011	GCA_000002855.2
Aspergillus novofumigatus IBT 16806	Fungi	1392255	GCA_002847465.1
Aspergillus ochraceoroseus IBT 24754	Fungi	1392256	GCA_002846915.2
Aspergillus oryzae RIB40	Fungi	510516	GCA_000184455.3
Aspergillus parasiticus	Fungi	5067	GCA_009176385.1
Aspergillus steynii IBT 23096	Fungi	1392250	GCA_002849105.1
Aspergillus sydowii CBS 593.65	Fungi	1036612	GCA_001890705.1
Aspergillus tanneri	Fungi	1220188	GCA_004798825.1
Aspergillus terreus NIH2624	Fungi	341663	GCA_000149615.1
Aspergillus thermomutatus	Fungi	41047	GCA_002237265.2
Aspergillus tubingensis CBS 134.48	Fungi	767770	GCA_001890745.1
Aspergillus versicolor CBS 583.65	Fungi	1036611	GCA_001890125.1
Aspergillus wentii DTO 134E9	Fungi	1073089	GCA_001890725.1
Atriophallophorus winterbourni	Platyhelminthes	2682772	GCA_013407085.1
Auanema rhodensis	Nematoda	473160	GCA_947366455.1
Auanema sp. JU1783	Nematoda	2878363	GCA_943334845.2
Babesia bigemina	Other eukaryotes	5866	GCA_000723445.1
Babesia bovis T2Bo	Other eukaryotes	484906	GCA_000165395.2
Babesia caballi	Other eukaryotes	5871	GCA_024862765.1
Babesia divergens	Other eukaryotes	32595	GCA_018398725.1
Babesia microti strain RI	Other eukaryotes	1133968	GCA_000691945.2
Babesia ovata	Other eukaryotes	189622	GCA_002897235.1
Babesia ovis	Other eukaryotes	5869	GCA_023705535.1
Babesia sp. Xinjiang	Other eukaryotes	462227	GCA_002095265.1
Batrachochytrium dendrobatidis JEL423	Fungi	403673	GCA_000149865.1
Batrachochytrium salamandrivorans	Fungi	1357716	GCA_002006685.2
Baylisascaris ailuri	Nematoda	941948	GCA_022845575.1
Baylisascaris schroederi	Nematoda	522413	GCA_006503575.1
Baylisascaris schroederi	Nematoda	522413	GCA_022844625.1
Beauveria bassiana	Fungi	176275	GCA_014607475.1
Benedenia humboldti	Platyhelminthes	2730667	GCA_016432935.1
Besnoitia besnoiti	Other eukaryotes	94643	GCA_002563875.1
Blastocystis hominis	Blastocystis	12968	GCF_000151665.1
Blastocystis sp. subtype 1	Blastocystis	944036	GCA_027406405.1
Blastocystis sp. subtype 2	Blastocystis	944160	GCA_027406325.1
Blastocystis sp. subtype 3	Blastocystis	944168	GCA_025449415.1
Blastocystis sp. subtype 4	Blastocystis	944170	GCF_000743755.1
Blastocystis sp. subtype 6	Blastocystis	944208	GCA_000963415.1
Blastocystis sp. subtype 7	Blastocystis	1076755	GCA_027406465.1
Blastocystis sp. subtype 8	Blastocystis	429571	GCA_027406425.1
Blastocystis sp. subtype 9	Blastocystis	1544353	GCA_000963465.1
Blastomyces dermatitidis ER-3	Fungi	559297	GCA_000003525.2
Blastomyces gilchristii SLH14081	Fungi	559298	GCA_000003855.2
Blastomyces percursus	Fungi	1658174	GCA_001883805.1
Blechomonas ayalai	Other eukaryotes	1463230	GCA_020509355.1
Blumeria graminis f. sp. tritici	Fungi	62690	GCA_900519115.1
Bodo saltans	Other eukaryotes	75058	GCA_001460835.1
Botrytis cinerea B05.10	Fungi	332648	GCA_000143535.4
Bradynema listronoti	Nematoda	413010	GCA_024678965.1
Bremia lactucae	Other eukaryotes	4779	GCA_004359215.2
Brugia malayi	Nematoda	6279	GCF_000002995.4
Brugia pahangi	Nematoda	6280	GCA_001280985.1
Brugia pahangi	Nematoda	6280	GCA_012070555.1
Brugia pahangi	Nematoda	6280	GCA_900618355.1
Brugia timori	Nematoda	42155	GCA_900618025.1
Bunonema sp. RGD898	Nematoda	2761626	GCA_014805405.1
Bursaphelenchus mucronatus	Nematoda	6325	GCA_025436335.1
Bursaphelenchus okinawaensis	Nematoda	465554	GCA_904066225.2
Bursaphelenchus okinawaensis	Nematoda	465554	GCA_904067145.1
Bursaphelenchus xylophilus	Nematoda	6326	GCA_000231135.1
Bursaphelenchus xylophilus	Nematoda	6326	GCA_004128815.1
Bursaphelenchus xylophilus	Nematoda	6326	GCA_010367655.1
Bursaphelenchus xylophilus	Nematoda	6326	GCA_010367685.1
Bursaphelenchus xylophilus	Nematoda	6326	GCA_022702815.1
Bursaphelenchus xylophilus	Nematoda	6326	GCA_904066235.2
Bursaphelenchus xylophilus	Nematoda	6326	GCA_904067135.1
Byssoonygena ceratinophila	Fungi	166112	GCA_001430925.1
Caenorhabditis angaria	Nematoda	860376	GCA_000165025.1
Caenorhabditis angaria	Nematoda	860376	GCA_947459285.1
Caenorhabditis auriculariae	Nematoda	2777116	GCA_904845305.1
Caenorhabditis becei	Nematoda	2301260	GCA_900536315.3
Caenorhabditis bovis	Nematoda	2654633	GCA_902829315.1
Caenorhabditis brenneri	Nematoda	135651	GCA_000143925.2
Caenorhabditis briggsae	Nematoda	6238	GCA_021491975.1
Caenorhabditis briggsae	Nematoda	6238	GCA_022453885.1
Caenorhabditis briggsae	Nematoda	6238	GCA_029581135.1
Caenorhabditis briggsae	Nematoda	6238	GCF_000004555.2
Caenorhabditis elegans	Nematoda	6239	GCA_000939815.1
Caenorhabditis elegans	Nematoda	6239	GCA_000975215.1
Caenorhabditis elegans	Nematoda	6239	GCA_001483305.2
Caenorhabditis elegans	Nematoda	6239	GCA_004526295.1
Caenorhabditis elegans	Nematoda	6239	GCA_013403715.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989095.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989105.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989115.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989125.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989145.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989235.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989245.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989275.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989285.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989295.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989365.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989385.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989455.1
Caenorhabditis elegans	Nematoda	6239	GCA_016989505.1
Caenorhabditis elegans	Nematoda	6239	GCA_018136795.1
Caenorhabditis elegans	Nematoda	6239	GCA_018136805.1
Caenorhabditis elegans	Nematoda	6239	GCA_018136835.1
Caenorhabditis elegans	Nematoda	6239	GCA_018136875.1
Caenorhabditis elegans	Nematoda	6239	GCA_020450165.1
Caenorhabditis elegans	Nematoda	6239	GCA_022984815.1
Caenorhabditis elegans	Nematoda	6239	GCA_027422425.1
Caenorhabditis elegans	Nematoda	6239	GCA_027422445.1
Caenorhabditis elegans	Nematoda	6239	GCA_028201415.1
Caenorhabditis elegans	Nematoda	6239	GCA_028201515.1
Caenorhabditis elegans	Nematoda	6239	GCA_029748435.1
Caenorhabditis elegans	Nematoda	6239	GCF_000002985.6
Caenorhabditis inopinata	Nematoda	1978547	GCA_003052745.1
Caenorhabditis japonica	Nematoda	281687	GCA_000147155.1
Caenorhabditis latens	Nematoda	1503980	GCA_002259235.2
Caenorhabditis nigoni	Nematoda	1611254	GCA_001643685.2
Caenorhabditis nigoni	Nematoda	1611254	GCA_002742825.1
Caenorhabditis nigoni	Nematoda	1611254	GCA_027920645.1
Caenorhabditis panamensis	Nematoda	2301259	GCA_900536275.1
Caenorhabditis panamensis	Nematoda	2301259	GCA_900883565.2
Caenorhabditis remanei	Nematoda	31234	GCA_001643735.4
Caenorhabditis remanei	Nematoda	31234	GCA_002259225.3
Caenorhabditis remanei	Nematoda	31234	GCA_018990105.1
Caenorhabditis remanei	Nematoda	31234	GCF_000149515.1
Caenorhabditis sp. 21 LS-2015	Nematoda	1737332	GCA_900536235.3
Caenorhabditis sp. 26 LS-2015	Nematoda	1737333	GCA_900536285.3
Caenorhabditis sp. 31 LS-2015	Nematoda	1737334	GCA_900536295.3
Caenorhabditis sp. 32 LS-2015	Nematoda	1737335	GCA_900536325.3
Caenorhabditis sp. 36 PRJEB53466	Nematoda	2970133	GCA_946814055.1
Caenorhabditis sp. 38 MB-2015	Nematoda	1729975	GCA_900536415.3
Caenorhabditis sp. 39 LS-2015	Nematoda	1737336	GCA_900536345.3
Caenorhabditis sp. 40 LS-2015	Nematoda	1737337	GCA_900536305.3
Caenorhabditis tropicalis	Nematoda	1561998	GCA_000186765.1
Caenorhabditis tropicalis	Nematoda	1561998	GCA_016735795.1
Candida albicans SC5314	Fungi	237561	GCA_000182965.3
Candida auris	Fungi	498019	GCA_002759435.2
Candida dubliniensis CD36	Fungi	573826	GCA_000026945.1
Candida duobushaemulonis	Fungi	1231522	GCA_002926085.1
Candida haemuloni	Fungi	45357	GCA_002926055.1
Candida metapsilosis	Fungi	273372	GCA_017655625.1
Candida parapsilosis	Fungi	5480	GCA_000182765.2
Candida pseudohaemulonii	Fungi	418784	GCA_003013735.1
Candida tropicalis MYA-3404	Fungi	294747	GCA_000006335.3
Cardicola forsteri	Platyhelminthes	335511	GCA_025895645.1
Cenococcum geophilum 1.58	Fungi	794803	GCA_001692895.1
Cercopithifilaria johnstoni	Nematoda	2874296	GCA_916381525.1
Chaetomium globosum CBS 148.51	Fungi	306901	GCA_000143365.1
Chromera velia CCMP2878	Other eukaryotes	1169474	GCA_018398765.1
Chrysosporium queenslandicum	Fungi	264361	GCA_001430955.1
Cladophialophora bantiana CBS 173.52	Fungi	1442370	GCA_000835475.1
Cladophialophora carrionii	Fungi	86049	GCA_001700775.1
Cladophialophora immunda	Fungi	569365	GCA_000835495.1
Cladophialophora psammophila CBS 110553	Fungi	1182543	GCA_000585535.1
Claviceps purpurea 20.1	Fungi	1111077	GCA_000347355.1
Clavispora lusitaniae ATCC 42720	Fungi	306902	GCA_000003835.1
Clonorchis sinensis	Platyhelminthes	79923	GCA_000236345.1
Clonorchis sinensis	Platyhelminthes	79923	GCA_003604175.2
Coccidioides immitis RS	Fungi	246410	GCA_000149335.2
Coccidioides posadasii str. Silveira	Fungi	443226	GCA_000170175.2
Colletotrichum graminicola M1.001	Fungi	645133	GCA_000149035.1
Coprinopsis cinerea okayama7#130	Fungi	240176	GCA_000182895.1
Cordyceps militaris	Fungi	73501	GCA_008080495.1
Crithidia fasciculata	Other eukaryotes	5656	GCA_000331325.2
Cruorifilaria tuberocauda	Nematoda	1766051	GCA_013365365.1
Cryptococcus albidus var. albidus	Fungi	1231661	GCA_001444555.1
Cryptococcus cf. gattii	Fungi	2011032	GCA_009650685.1
Cryptococcus gattii VGII R265	Fungi	294750	GCA_002954075.1
Cryptococcus gattii WM276	Fungi	367775	GCA_000185945.1
Cryptococcus neoformans var. neoformans JEC21	Fungi	214684	GCA_000091045.1
Cryptosporidium andersoni	Other eukaryotes	117008	GCA_001865355.1
Cryptosporidium baileyi	Other eukaryotes	27987	GCA_001593455.1
Cryptosporidium bovis	Other eukaryotes	310047	GCA_009768925.2
Cryptosporidium hominis TU502	Other eukaryotes	353151	GCA_000006425.2
Cryptosporidium meleagridis	Other eukaryotes	93969	GCA_001593445.1
Cryptosporidium muris RN66	Other eukaryotes	441375	GCF_000006515.1
Cryptosporidium parvum Iowa II	Other eukaryotes	353152	GCA_000165345.1
Cryptosporidium ryanae	Other eukaryotes	515981	GCA_009792415.2
Cryptosporidium sp. chipmunk genotype I	Other eukaryotes	1280935	GCA_004936735.2
Cryptosporidium sp. chipmunk LX-2015	Other eukaryotes	1603071	GCA_000831705.1
Cryptosporidium tyzzeri	Other eukaryotes	756076	GCA_007210665.1
Cryptosporidium ubiquitum	Other eukaryotes	857276	GCA_001865345.1
Cucumispora dikerogammari	Fungi	658444	GCA_014805705.1
Cyberlindnera fabianii	Fungi	36022	GCA_001983305.1
Cyclospora cayetanensis	Other eukaryotes	88456	GCA_000769155.2
Cylicostephanus goldi	Nematoda	71465	GCA_900617965.1
Cyphellophora europaea CBS 101466	Fungi	1220924	GCA_000365145.2
Cystoisospora suis	Other eukaryotes	483139	GCA_002600585.1
Cytauxzoon felis	Other eukaryotes	27996	GCA_020283715.1
Debaryomyces fabryi	Fungi	58627	GCA_001447935.2
Debaryomyces hansenii CBS767	Fungi	284592	GCA_000006445.2
Deladenus siricidicola	Nematoda	287718	GCA_009724625.1
Dibothriocephalus latus	Platyhelminthes	60516	GCA_900617775.1
Dicrocoelium dendriticum	Platyhelminthes	57078	GCA_000950715.1
Dicrocoelium dendriticum	Platyhelminthes	57078	GCA_944474145.1
Dictyocaulus viviparus	Nematoda	29172	GCA_000816705.1
Dictyocoela muelleri	Fungi	279532	GCA_016256075.1
Dictyocoela roeselum	Fungi	288439	GCA_016255985.1
Dipetalonema caudispina	Nematoda	1766039	GCA_013365325.1
Diplogasteroides magnus	Nematoda	560213	GCA_014805445.1
Diploscapter coronatus	Nematoda	288516	GCA_002207785.1
Diploscapter pachys	Nematoda	2018661	GCA_002287525.1
Dipylidium caninum	Platyhelminthes	66787	GCA_017562135.1
Dipylidium caninum	Platyhelminthes	66787	GCA_028455885.1
Dipylidium caninum	Platyhelminthes	66787	GCA_028456195.1
Dirofilaria immitis	Nematoda	6287	GCA_001077395.1
Dirofilaria immitis	Nematoda	6287	GCA_009829315.1
Dirofilaria immitis	Nematoda	6287	GCA_013365355.1
Dirofilaria immitis	Nematoda	6287	GCA_024305405.1
