Scientific Name	Taxonomic Group	NCBI Tax ID	NCBI Accession ID
Paragonimus kellicotti	Platyhelminthes	100269	GCA_014220965.1
Paragonimus skrjabini miyazakii	Platyhelminthes	59628	GCA_014338405.1
Paragonimus westermani	Platyhelminthes	34504	GCA_008508345.1
Paragonimus westermani	Platyhelminthes	34504	GCA_015252655.1
Parapristionchus giblindavisi	Nematoda	1187980	GCA_900491355.1
Parapristionchus giblindavisi	Nematoda	1187980	GCA_943737045.1
Parascaris univalens	Nematoda	6257	GCA_002259205.1
Parascaris univalens	Nematoda	6257	GCA_002259215.1
Parastagonospora nodorum SN15	Fungi	321614	GCA_016801405.1
Parastrongyloides trichosuri	Nematoda	131310	GCA_000941615.1
Paratrypanosoma confusum	Other eukaryotes	1470209	GCA_002921335.1
Parelaphostrongylus tenuis	Nematoda	148309	GCA_019055375.1
Penicilliopsis zonata CBS 506.65	Fungi	1073090	GCA_001890105.1
Penicillium rubens Wisconsin 54-1255	Fungi	500485	GCA_000226395.1
Peronospora effusa	Other eukaryotes	542832	GCA_003843895.1
Phanerochaete chrysosporium RP-78	Fungi	273507	GCA_000167175.1
Phycomyces blakesleeanus NRRL 1555(-)	Fungi	763407	GCA_001638985.2
Phytophthora capsici	Other eukaryotes	4784	GCA_016618375.1
Phytophthora cinnamomi var. cinnamomi CBS 144.22	Other eukaryotes	1048749	FungiDB-61-PcinnamomiCBS144-22
Phytophthora infestans T30-4	Other eukaryotes	403677	GCA_000142945.1
Phytophthora palmivora var. palmivora	Other eukaryotes	611791	GCA_002911725.1
Phytophthora parasitica INRA-310	Other eukaryotes	761204	GCA_000247585.2
Phytophthora plurivora	Other eukaryotes	639000	GCA_002247145.1
Phytophthora ramorum	Other eukaryotes	164328	GCA_000149735.1
Phytophthora sojae	Other eukaryotes	67593	GCA_000149755.2
Phytopythium vexans DAOM BR484	Other eukaryotes	1223560	GCA_000387545.2
Pichia kudriavzevii	Fungi	4909	GCA_003054445.1
Plasmodium berghei ANKA	Other eukaryotes	5823	GCA_900002375.2
Plasmodium chabaudi chabaudi	Other eukaryotes	31271	GCA_900002335.2
Plasmodium coatneyi	Other eukaryotes	208452	GCA_001680005.1
Plasmodium cynomolgi	Other eukaryotes	5827	GCA_900180395.1
Plasmodium falciparum 3D7	Other eukaryotes	36329	GCA_000002765.3
Plasmodium fragile	Other eukaryotes	5857	GCA_000956335.1
Plasmodium gaboni	Other eukaryotes	647221	GCA_001602025.1
Plasmodium gallinaceum	Other eukaryotes	5849	GCA_900005855.1
Plasmodium inui San Antonio 1	Other eukaryotes	1237626	GCA_000524495.1
Plasmodium knowlesi strain H	Other eukaryotes	5851	GCA_000006355.3
Plasmodium malariae	Other eukaryotes	5858	GCA_900090045.1
Plasmodium ovale	Other eukaryotes	36330	GCA_900090035.2
Plasmodium reichenowi	Other eukaryotes	5854	GCA_000723685.1
Plasmodium relictum	Other eukaryotes	85471	GCA_900005765.1
Plasmodium sp. DRC-Itaito	Other eukaryotes	720590	GCA_900257145.2
Plasmodium sp. gorilla clade G1	Other eukaryotes	880534	GCA_900095595.1
Plasmodium sp. gorilla clade G2	Other eukaryotes	880535	GCA_900097015.1
Plasmodium sp. gorilla clade G3	Other eukaryotes	880536	GCA_900097035.1
Plasmodium vinckei vinckei	Other eukaryotes	54757	GCA_900681995.1
Plasmodium vivax	Other eukaryotes	5855	GCA_900093555.2
Plasmodium vivax-like sp.	Other eukaryotes	27990	PlasmoDB-61-Pvivax-likePvl01
Plasmodium yoelii	Other eukaryotes	5861	GCA_900002385.2
Plectus murrayi	Nematoda	538668	GCA_004785735.1
Plectus sambesii	Nematoda	2011161	GCA_002796945.1
Pleurotus ostreatus PC15	Fungi	1137138	GCA_000697685.1
Pneumocystis canis	Fungi	2698477	GCA_017788925.1
Pneumocystis jirovecii	Fungi	42068	GCA_000333975.2
Pneumocystis oryctolagi	Fungi	42067	GCA_017311285.1
Pneumocystis sp. 'macacae'	Fungi	2698480	GCA_018127085.1
Pneumocystis wakefieldiae	Fungi	38082	GCA_017301755.1
Podospora anserina S mat+	Fungi	515849	GCA_000226545.1
Podospora comata	Fungi	48703	GCA_900290415.1
Porcisia hertigi	Other eukaryotes	2761500	GCA_017918235.1
Porospora cf. gigantea A	Other eukaryotes	2853593	GCA_019968955.1
Pristionchus arcanus	Nematoda	1195655	GCA_900490705.1
Pristionchus entomophagus	Nematoda	358040	GCA_900490825.1
Pristionchus exspectatus	Nematoda	1195656	GCA_900380275.1
Pristionchus exspectatus	Nematoda	1195656	GCA_911812115.1
Pristionchus fissidentatus	Nematoda	1538716	GCA_900490895.1
Pristionchus japonicus	Nematoda	1195657	GCA_900490845.1
Pristionchus maxplancki	Nematoda	1317128	GCA_900490775.1
Pristionchus mayeri	Nematoda	1317129	GCA_900490875.1
Pristionchus pacificus	Nematoda	54126	GCA_000180635.4
Pristionchus pacificus	Nematoda	54126	GCA_918442785.1
Pristionchus pacificus	Nematoda	54126	GCA_918442795.1
Pristionchus pacificus	Nematoda	54126	GCA_918442805.1
Pristionchus pacificus	Nematoda	54126	GCA_918442815.1
Pristionchus pacificus	Nematoda	54126	GCA_918442825.1
Pristionchus pacificus	Nematoda	54126	GCA_918442835.1
Pristionchus pacificus	Nematoda	54126	GCA_918442845.1
Prostheceraeus crozeri	Platyhelminthes	2291463	GCA_907163375.1
Proteocephalus fallax	Platyhelminthes	3003519	GCA_028672205.1
Protopolystoma xenopodis	Platyhelminthes	117903	GCA_900617795.1
Pseudogymnoascus destructans 20631-21	Fungi	658429	GCA_000184105.1
Pseudoloma neurophilia	Fungi	146866	GCA_001432165.1
Puccinia graminis f. sp. tritici CRL 75-36-700-3	Fungi	418459	GCA_000149925.1
Puccinia sorghi	Fungi	27349	GCA_001263375.1
Puccinia striiformis	Fungi	27350	GCA_002920065.1
Puccinia triticina 1-1 BBBD Race 1	Fungi	630390	GCA_000151525.2
Pyricularia oryzae 70-15	Fungi	242507	GCA_000002495.2
Pythium aphanidermatum DAOM BR444	Other eukaryotes	1223555	GCA_000387445.2
Pythium arrhenomanes ATCC 12531	Other eukaryotes	1223556	GCA_000387505.2
Pythium insidiosum	Other eukaryotes	114742	GCA_001029375.2
Radopholus similis	Nematoda	46012	GCA_013357305.1
Radopholus similis	Nematoda	46012	GCA_013357325.1
Raffaelea lauricola	Fungi	483707	GCA_014183025.1
Rhabditida sp.	Nematoda	2731189	GCA_029299675.1
Rhabditida sp. S2 005 001R2	Nematoda	2492660	GCA_004026265.1
Rhabditophanes sp. KR3021	Nematoda	114890	GCA_000944355.1
Rhinocladiella mackenziei CBS 650.93	Fungi	1442369	GCA_000835555.1
Rhizophagus irregularis DAOM 181602=DAOM 197198	Fungi	747089	GCA_000439145.3
Rhizopus delemar RA 99-880	Fungi	246409	GCA_000149305.1
Rhizopus microsporus var. microsporus	Fungi	86635	GCA_002083745.1
Rodentolepis nana	Platyhelminthes	102285	GCA_900617975.1
Romanomermis culicivorax	Nematoda	13658	GCA_001039655.1
Rotylenchulus reniformis	Nematoda	239373	GCA_001026735.1
Saccharomyces cerevisiae S288C	Fungi	559292	GCA_000146045.2
Saccharomyces paradoxus	Fungi	27291	GCA_002079055.1
Saccharomycodes ludwigii	Fungi	36035	GCA_900491785.1
Saprolegnia diclina VS20	Other eukaryotes	1156394	GCA_000281045.1
Saprolegnia parasitica CBS 223.65	Other eukaryotes	695850	GCA_000151545.2
Sarcocystis neurona	Other eukaryotes	42890	GCA_000727475.1
Scedosporium apiospermum	Fungi	563466	GCA_000732125.1
Schistocephalus solidus	Platyhelminthes	70667	GCA_017591395.1
Schistocephalus solidus	Platyhelminthes	70667	GCA_900618435.1
Schistosoma bovis	Platyhelminthes	6184	GCA_003958945.1
Schistosoma bovis	Platyhelminthes	6184	GCA_944470425.1
Schistosoma bovis	Platyhelminthes	6184	GCA_944470445.2
Schistosoma curassoni	Platyhelminthes	6186	GCA_900618015.1
Schistosoma curassoni	Platyhelminthes	6186	GCA_907275115.1
Schistosoma curassoni	Platyhelminthes	6186	GCA_944474815.1
Schistosoma guineensis	Platyhelminthes	393876	GCA_944470375.1
Schistosoma haematobium	Platyhelminthes	6185	GCA_944470455.2
Schistosoma haematobium	Platyhelminthes	6185	GCA_944470465.2
Schistosoma haematobium	Platyhelminthes	6185	GCF_000699445.3
Schistosoma intercalatum	Platyhelminthes	6187	GCA_944470365.1
Schistosoma intercalatum	Platyhelminthes	6187	GCA_944470385.2
Schistosoma japonicum	Platyhelminthes	6182	GCA_000151775.1
Schistosoma japonicum	Platyhelminthes	6182	GCA_006368765.1
Schistosoma japonicum	Platyhelminthes	6182	GCA_021461655.1
Schistosoma japonicum	Platyhelminthes	6182	GCA_025215515.1
Schistosoma mansoni	Platyhelminthes	6183	GCA_000237925.5
Schistosoma margrebowiei	Platyhelminthes	48269	GCA_900618395.1
Schistosoma margrebowiei	Platyhelminthes	48269	GCA_944470205.1
Schistosoma mattheei	Platyhelminthes	31246	GCA_900617995.1
Schistosoma mattheei	Platyhelminthes	31246	GCA_944470405.1
Schistosoma rodhaini	Platyhelminthes	6188	GCA_944470415.1
Schistosoma rodhaini	Platyhelminthes	6188	GCA_944470435.2
Schistosoma spindale	Platyhelminthes	6189	GCA_946903255.1
Schistosoma turkestanicum	Platyhelminthes	1163369	GCA_944470395.1
Schizosaccharomyces japonicus yFS275	Fungi	402676	GCA_000149845.2
Schizosaccharomyces octosporus yFS286	Fungi	483514	GCA_000150505.2
Schizosaccharomyces pombe	Fungi	4896	GCA_000002945.2
Schmidtea mediterranea	Platyhelminthes	79327	GCA_000181075.1
Schmidtea mediterranea	Platyhelminthes	79327	GCA_000572305.1
Schmidtea mediterranea	Platyhelminthes	79327	GCA_000691995.1
Schmidtea mediterranea	Platyhelminthes	79327	GCA_002600895.1
Schmidtea mediterranea	Platyhelminthes	79327	GCA_022537955.1
Sclerotinia sclerotiorum 1980 UF-70	Fungi	665079	GCA_001857865.1
Setaria digitata	Nematoda	48799	GCA_003640385.1
Setaria digitata	Nematoda	48799	GCA_900083525.1
Setaria equina	Nematoda	221942	GCA_003012265.1
Soboliphyme baturini	Nematoda	241478	GCA_900618415.1
Sordaria macrospora k-hell	Fungi	771870	GCA_000182805.2
Sparganum proliferum	Platyhelminthes	64606	GCA_902702955.1
Spirometra erinaceieuropaei	Platyhelminthes	99802	GCA_000951995.1
Spirometra erinaceieuropaei	Platyhelminthes	99802	GCA_902702965.1
Spironucleus salmonicida	Other eukaryotes	348837	GCA_000497125.2
Spizellomyces punctatus DAOM BR117	Fungi	645134	GCA_000182565.2
Sporisorium reilianum SRZ2	Fungi	999809	GCA_000230245.1
Sporothrix brasiliensis 5110	Fungi	1398154	GCA_000820605.1
Sporothrix schenckii 1099-18	Fungi	1397361	GCA_000961545.1
Spraguea lophii 42 110	Fungi	1358809	GCA_000430065.1
Stachybotrys chartarum IBT 40293	Fungi	1280524	GCA_000732565.1
Steinernema carpocapsae	Nematoda	34508	GCA_000757645.3
Steinernema diaprepesi	Nematoda	193536	GCA_013436035.1
Steinernema feltiae	Nematoda	52066	GCA_000757705.1
Steinernema feltiae	Nematoda	52066	GCA_007213375.1
Steinernema glaseri	Nematoda	37863	GCA_000757755.1
Steinernema khuongi	Nematoda	2781566	GCA_016648015.1
Steinernema monticolum	Nematoda	90984	GCA_000505645.1
Steinernema scapterisci	Nematoda	90986	GCA_000757745.1
Strongyloides papillosus	Nematoda	174720	GCA_000936265.1
Strongyloides papillosus	Nematoda	174720	GCA_005656395.1
Strongyloides ratti	Nematoda	34506	GCF_001040885.1
Strongyloides stercoralis	Nematoda	6248	GCA_000947215.1
Strongyloides stercoralis	Nematoda	6248	GCA_029582065.1
Strongyloides venezuelensis	Nematoda	75913	GCA_001028725.1
Strongylus vulgaris	Nematoda	40348	GCA_900624965.1
Subanguina moxae	Nematoda	1120120	GCA_000981365.1
Synchytrium endobioticum	Fungi	286115	GCA_006535955.1
Taenia asiatica	Platyhelminthes	60517	GCA_001693035.2
Taenia asiatica	Platyhelminthes	60517	GCA_900618005.1
Taenia crassiceps	Platyhelminthes	6207	GCA_023375655.1
Taenia multiceps	Platyhelminthes	94034	GCA_001923025.3
Taenia pisiformis	Platyhelminthes	85432	GCA_023968675.1
Taenia saginata	Platyhelminthes	6206	GCA_001693075.2
Taenia solium	Platyhelminthes	6204	GCA_001870725.1
Taenia solium	Platyhelminthes	6204	GCA_002082475.1
Taenia solium	Platyhelminthes	6204	GCA_002221735.1
Talaromyces marneffei ATCC 18224	Fungi	441960	GCA_000001985.1
Talaromyces stipitatus ATCC 10500	Fungi	441959	GCA_000003125.1
Taphrina deformans PYCC 5710	Fungi	1097556	GCA_000312925.2
Teladorsagia circumcincta	Nematoda	45464	GCA_002352805.1
Theileria annulata	Other eukaryotes	5874	GCA_000003225.1
Theileria equi strain WA	Other eukaryotes	1537102	GCA_000342415.1
Theileria orientalis strain Shintoku	Other eukaryotes	869250	GCA_000740895.1
Theileria parva strain Muguga	Other eukaryotes	333668	GCA_000165365.1
Thelazia callipaeda	Nematoda	103827	GCA_900618365.1
Thelohania contejeani	Fungi	164912	GCA_014805555.1
Thermothelomyces thermophilus ATCC 42464	Fungi	573729	GCA_000226095.1
Toxascaris leonina	Nematoda	59264	GCA_022844705.1
Toxocara canis	Nematoda	6265	GCA_000803305.1
Toxocara canis	Nematoda	6265	GCA_001680135.1
Toxocara canis	Nematoda	6265	GCA_900622545.1
Toxoplasma gondii ME49	Other eukaryotes	508771	GCF_000006565.2
Trachipleistophora hominis	Fungi	72359	GCA_000316135.1
Tremella mesenterica DSM 1558	Fungi	578456	GCA_000271645.1
Trichinella britovi	Nematoda	45882	GCA_001447585.1
Trichinella murrelli	Nematoda	144512	GCA_001447425.1
Trichinella murrelli	Nematoda	144512	GCA_002221485.1
Trichinella nativa	Nematoda	6335	GCA_001447565.2
Trichinella nativa	Nematoda	6335	GCA_002148645.1
Trichinella nelsoni	Nematoda	6336	GCA_001447455.1
Trichinella nelsoni	Nematoda	6336	GCA_025699415.1
Trichinella papuae	Nematoda	268474	GCA_001447755.1
Trichinella patagoniensis	Nematoda	990121	GCA_001447655.1
Trichinella pseudospiralis	Nematoda	6337	GCA_001447445.1
Trichinella pseudospiralis	Nematoda	6337	GCA_001447575.1
Trichinella pseudospiralis	Nematoda	6337	GCA_001447645.1
Trichinella pseudospiralis	Nematoda	6337	GCA_001447675.1
Trichinella pseudospiralis	Nematoda	6337	GCA_001447725.1
Trichinella pseudospiralis	Nematoda	6337	GCA_005323645.1
Trichinella sp. 17WV049-YT159	Nematoda	2600093	GCA_011764315.1
Trichinella sp. T6	Nematoda	92179	GCA_001447435.1
Trichinella sp. T8	Nematoda	92180	GCA_001447745.1
Trichinella sp. T9	Nematoda	181606	GCA_001447505.1
Trichinella spiralis	Nematoda	6334	GCA_000181795.3
Trichinella spiralis	Nematoda	6334	GCA_001447595.1
Trichinella spiralis	Nematoda	6334	GCA_008807755.1
Trichinella spiralis	Nematoda	6334	GCA_008807775.1
Trichinella spiralis	Nematoda	6334	GCA_008807795.1
Trichinella spiralis	Nematoda	6334	GCA_008807815.1
Trichinella zimbabwensis	Nematoda	268475	GCA_001447665.1
Trichobilharzia regenti	Platyhelminthes	157069	GCA_900618515.1
Trichobilharzia regenti	Platyhelminthes	157069	GCA_944472135.1
Trichobilharzia szidati	Platyhelminthes	157070	GCA_944472155.1
Trichoderma atroviride	Fungi	63577	GCA_001599035.1
Trichoderma reesei QM6a	Fungi	431241	GCA_000167675.2
Trichoderma virens Gv29-8	Fungi	413071	GCA_000170995.2
Trichomonas tenax	Other eukaryotes	43075	GCA_900231805.1
Trichomonas vaginalis G3	Other eukaryotes	412133	GCA_026262505.1
Trichomonascus ciferrii	Fungi	44093	GCA_008704605.1
Trichophyton mentagrophytes	Fungi	523103	GCA_003118255.1
Trichophyton rubrum CBS 118892	Fungi	559305	GCA_000151425.1
Trichophyton tonsurans CBS 112818	Fungi	647933	GCA_000151455.1
Trichosporon asahii var. asahii CBS 2479	Fungi	1186058	GCA_000293215.1
Trichuris muris	Nematoda	70415	GCA_000612645.2
Trichuris suis	Nematoda	68888	GCA_000701005.1
Trichuris suis	Nematoda	68888	GCA_000701025.1
Trichuris suis	Nematoda	68888	GCA_000797535.1
Trichuris trichiura	Nematoda	36087	GCA_000613005.1
Tritrichomonas foetus	Other eukaryotes	1144522	GCA_001839685.1
Trypanosoma brucei brucei TREU927	Other eukaryotes	185431	GCA_000002445.1
Trypanosoma congolense IL3000	Other eukaryotes	1068625	GCA_000227395.2
Trypanosoma cruzi strain CL Brener	Other eukaryotes	353153	GCA_000209065.1
Trypanosoma equiperdum	Other eukaryotes	5694	GCA_001457755.2
Trypanosoma evansi	Other eukaryotes	5697	TriTrypDB-61-TevansiSTIB805
Trypanosoma grayi	Other eukaryotes	71804	GCA_000691245.1
Trypanosoma melophagium	Other eukaryotes	715481	GCA_022059095.1
Trypanosoma rangeli SC58	Other eukaryotes	429131	GCA_000492115.1
Trypanosoma theileri	Other eukaryotes	67003	GCA_002087225.1
Trypanosoma vivax Y486	Other eukaryotes	1055687	GCA_000227375.1
Tubulinosema ratisbonensis	Fungi	291195	GCA_004000155.1
Uncinocarpus reesii 1704	Fungi	336963	GCA_000003515.2
Ustilago maydis 521	Fungi	237631	GCA_000328475.2
Vavraia culicis subsp. floridensis	Fungi	948595	GCA_000192795.1
Verruconis gallopava	Fungi	253628	GCA_000836295.1
Verticillium dahliae JR2	Fungi	1202531	GCA_000400815.2
Vitrella brassicaformis CCMP3155	Other eukaryotes	1169540	GCA_001179505.1
Vittaforma corneae ATCC 50505	Fungi	993615	GCA_000231115.1
Wuchereria bancrofti	Nematoda	6293	GCA_000180755.1
Wuchereria bancrofti	Nematoda	6293	GCA_001555675.1
Wuchereria bancrofti	Nematoda	6293	GCA_005281725.1
Wuchereria bancrofti	Nematoda	6293	GCA_900622535.1
Yarrowia lipolytica CLIB122	Fungi	284591	GCA_000002525.1
Zymoseptoria tritici IPO323	Fungi	336722	GCA_000219625.1