Node	Taxonomy	Count
Bacteria	Kingdom	303.17
Bacilli	Clade	2.24
Betaproteobacteria	Clade	2.34
Alphaproteobacteria	Clade	3.69
Gammaproteobacteria	Clade	4.70
Mollicutes	Clade	4.88
Chitinophagia	Clade	11.98
Clostridia	Clade	5.78
Cytophagia	Clade	11.91
Bacteroidia	Clade	33.02
Flavobacteriia	Clade	37.34
Actinomycetes	Clade	87.92
Sphingobacteriia	Clade	95.17
Paenibacillus_taichungensis	Species	16.51
Alcaligenes_faecalis	Species	6.86
Afipia_birgiae	Species	5.23
Afipia_broomeae	Species	5.97
Caulobacter_segnis	Species	4.37
Pseudochrobactrum_asaccharolyticum	Species	11.89
Sphingomonas_dokdonensis	Species	9.96
Bradyrhizobium_diversitatis	Species	4.32
Pseudomonas_lactis	Species	5.55
Stenotrophomonas_maltophilia_group	Species	7.43
Escherichia_coli	Species	9.11
Stenotrophomonas_indicatrix	Species	23.14